"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
5,"Ἀαρών",2,"no","Aäron"
1,"Ἀβαδδών",3,"no","Abaddon"
1,"ἀβαρής",4,"no","niet belastend"
3,"ἀββά",5,"no","vader"
4,"Ἅβελ",6,"no","Abel"
3,"Ἀβιά",7,"no","Abia"
1,"Ἀβιαθάρ",8,"no","Abjatar"
1,"Ἀβιληνή",9,"no","Abilene"
2,"Ἀβιούδ",10,"no","Abiud"
73,"Ἀβραάμ",11,"no","Abraham"
9,"ἄβυσσος",12,"no","afgrond"
2,"Ἅγαβος",13,"no","Agabus"
2,"ἀγαθοεργέω",14,"no","goed doen, weldoen "
9,"ἀγαθοποιέω",15,"no","goed doen (aan), weldoen (aan)"
1,"ἀγαθοποιΐα",16,"no","het doen van het goede, weldoenerij"
1,"ἀγαθοποιός",17,"no","weldadig; (subst.) weldoener, iemand die iets goed doet"
102,"ἀγαθός",18,"no","goed"
4,"ἀγαθωσύνη",19,"no","goedheid"
5,"ἀγαλλίασις",20,"no","gejuich, (uitbundige) blijdschap"
11,"ἀγαλλιάω",21,"no","juichen, (zeer) blij zijn"
4,"ἄγαμος",22,"no","ongetrouwd"
7,"ἀγανακτέω",23,"no","geïrriteerd zijn, verontwaardigd zijn"
1,"ἀγανάκτησις",24,"no","irritatie, verontwaardiging"
143,"ἀγαπάω",25,"no","liefhebben, zorgen voor, waarderen"
116,"ἀγάπη",26,"no","liefde, zorg, waardering"
61,"ἀγαπητός",27,"no","geliefd, (subst.) geliefde"
2,"Ἁγάρ",28,"no","Hagar"
3,"ἀγγαρεύω",29,"no","dwingen"
1,"ἀγγεῖον",30,"no","vat, kruik"
2,"ἀγγελία",31,"no","boodschap"
1,"ἀγγέλλω",518,"yes","berichten"
176,"ἄγγελος",32,"no","engel, boodschapper"
1,"ἄγγος",30,"yes","kuip"
7,"ἀγέλη",34,"no","kudde"
1,"ἀγενεαλόγητος",35,"no","zonder stamboom"
1,"ἀγενής",36,"no","onbeduidend"
